175,0.910
200,0.910
225,0.911
250,0.913
275,0.915
300,0.918
325,0.923
350,0.928
375,0.934
400,0.941
450,0.956
500,0.972
550,0.988
600,1.003
650,1.017
700,1.031
750,1.043
800,1.054
850,1.065
900,1.074
950,1.082
1000,1.090
1050,1.097
1100,1.103
1150,1.109
1200,1.115
1250,1.120
1300,1.125
1350,1.130
1400,1.134
1500,1.143
1600,1.151
1700,1.158
1800,1.166
1900,1.173
2000,1.181
2100,1.188
2200,1.195
2300,1.202
2400,1.209
2500,1.216
2600,1.223
2700,1.230
2800,1.236
2900,1.243
3000,1.249
3500,1.276
4000,1.299
4500,1.316
5000,1.328
5500,1.337
6000,1.344
